District,DISTRICT_CODE,State,STATE_CODE,Winter,Pre-Monsoon,SW-Monsoon,Post-Monsoon,Annual
HOSHIARPUR,038,PUNJAB,03,17.5,54.2,563.7,34.8,670.2
JALANDHAR,037,PUNJAB,03,16.8,46,706.9,45.1,814.9
KAPURTHALA,036,PUNJAB,03,25.5,61.5,954.8,66.5,1108.2
LUDHIANA,041,PUNJAB,03,10.1,55.6,609.1,49.9,724.7
MANSA,047,PUNJAB,03,2.2,27.4,160.4,21.8,211.8
MOGA,042,PUNJAB,03,7.1,38,331.6,10.2,386.8
PATHANKOT,773,PUNJAB,03,50,123.6,1043.5,56.1,1273.1
PATIALA,048,PUNJAB,03,9.9,59.7,558.7,47.9,676.1
RUPNAGAR,051,PUNJAB,03,15.3,65.3,604.2,67.5,752.3
SANGRUR,053,PUNJAB,03,6.5,50.9,254.4,22.8,334.6
S.A.S. NAGAR,052,PUNJAB,03,20.9,64.3,385.7,25.7,496.6
SHAHID BHAGAT SINGH NAGAR,039,PUNJAB,03,21.4,65.9,664.9,35.5,787.7
TARN TARAN,050,PUNJAB,03,22,73.4,289.5,16.6,401.5
AJMER,119,RAJASTHAN,08,12.5,96.4,458.1,20,587
ALWAR,104,RAJASTHAN,08,18.9,74.1,631.6,23.6,748.3
BANSWARA,125,RAJASTHAN,08,0.9,38.2,806.4,26.5,872
BARAN,128,RAJASTHAN,08,11.9,38.1,1131.6,135.6,1317.2
BARMER,115,RAJASTHAN,08,0,12.3,242.7,0.1,255.1
BHARATPUR,105,RAJASTHAN,08,27.3,91.4,596.3,42.1,757.1
BHILWARA,122,RAJASTHAN,08,6.9,73.2,615.4,73,768.5
BIKANER,101,RAJASTHAN,08,0.7,29.2,282.3,16.2,328.4
BUNDI,121,RAJASTHAN,08,38.2,29.3,975.5,72.2,1115.2
CHITTAURGARH,126,RAJASTHAN,08,9.9,80.4,752.3,175.4,1017.9
CHURU,102,RAJASTHAN,08,16.6,41.9,521.5,1.8,581.8
DAUSA,109,RAJASTHAN,08,34.4,92,701,9,836.4
DHAULPUR,106,RAJASTHAN,08,11.5,121.8,621.3,43,797.7
DUNGARPUR,124,RAJASTHAN,08,2.3,128.3,558.6,30,719.3
HANUMANGARH,100,RAJASTHAN,08,4.9,28.6,293.5,46.1,373.1
JAIPUR,110,RAJASTHAN,08,13.3,97.7,565.8,38.2,715
JAISALMER,114,RAJASTHAN,08,0,37.8,273.5,5.4,316.7
JALOR,116,RAJASTHAN,08,0,35.9,339.9,15.3,391
JHALAWAR,129,RAJASTHAN,08,0,15.8,1130.3,27.7,1173.8
JHUNJHUNU,103,RAJASTHAN,08,34.2,59.5,459.6,13,566.3
JODHPUR,113,RAJASTHAN,08,1.7,52.2,294.3,21.4,369.6
KARAULI,107,RAJASTHAN,08,35.2,56.2,692,85.3,868.7
KOTA,127,RAJASTHAN,08,42.1,47,1080.9,136.9,1307
NAGAUR,112,RAJASTHAN,08,14.4,83.9,485.9,17.7,601.9
PALI,118,RAJASTHAN,08,5.9,56.7,396.7,28,487.3
PRATAPGARH,131,RAJASTHAN,08,12,60.8,1162.6,87,1322.4
RAJSAMAND,123,RAJASTHAN,08,6.6,84.7,517.9,63.1,672.3
SAWAI MADHOPUR,108,RAJASTHAN,08,37.8,50.4,906.2,62.5,1056.9
SIKAR,111,RAJASTHAN,08,27.1,83.6,582.6,19.4,712.7
SIROHI,117,RAJASTHAN,08,0,42.5,563.2,57.3,663.1
GANGANAGAR,099,RAJASTHAN,08,3.9,30.7,143.3,46.1,223.9
TONK,120,RAJASTHAN,08,12.1,64.8,664.5,38.9,780.3
UDAIPUR,130,RAJASTHAN,08,1.1,106.5,525.5,146.6,779.7
EAST DISTRICT,244,SIKKIM,11,37.9,604.9,1797.1,355.2,2795.1
NORTH  DISTRICT,241,SIKKIM,11,96.4,1088,1941,362.2,3487.5
SOUTH DISTRICT,243,SIKKIM,11,16.9,367.9,1339.8,235.2,1959.8
WEST DISTRICT,242,SIKKIM,11,28,368.9,1575.1,361.5,2333.5
ARIYALUR,616,TAMIL NADU,33,220.7,59.2,433.2,933,1646
CHENGALPATTU,0,TAMIL NADU,33,172.5,47.2,387.9,1238.4,1846
CHENNAI,603,TAMIL NADU,33,196.5,47.9,500.2,1360.4,2105
COIMBATORE,632,TAMIL NADU,33,118.5,290.1,1029.7,678.6,2116.8
CUDDALORE,617,TAMIL NADU,33,342.2,75.3,438.2,1184.7,2040.4
DHARMAPURI,630,TAMIL NADU,33,59.8,121.4,369.8,476.8,1027.7
DINDIGUL,612,TAMIL NADU,33,194.4,149.8,307.7,588.6,1240.5
ERODE,610,TAMIL NADU,33,78.5,151.9,257.8,521.9,1010
KALLAKURICHI,729,TAMIL NADU,33,112.8,56.7,439.8,818.2,1427.5
KANCHEEPURAM,604,TAMIL NADU,33,107.4,78,517.5,995.2,1698.1
KANNIYAKUMARI,629,TAMIL NADU,33,99.1,639.1,426,1076.8,2240.9
KARUR,613,TAMIL NADU,33,109.1,43.7,270.3,496.7,919.9
KRISHNAGIRI,631,TAMIL NADU,33,45.9,122.3,375.2,442,985.4
MADURAI,623,TAMIL NADU,33,131.5,95,384.1,484.6,1095.3
NAGAPATTINAM,618,TAMIL NADU,33,354,65.4,293.8,1219.3,1932.4
NAMAKKAL,609,TAMIL NADU,33,66.3,83,341,531.6,1022
PERAMBALUR,615,TAMIL NADU,33,157.6,86.4,468.7,850.7,1563.4
PUDUKKOTTAI,621,TAMIL NADU,33,191.1,48.1,320.2,629.3,1188.8
RAMANATHAPURAM,626,TAMIL NADU,33,239.8,69,138.6,593.2,1040.7
RANIPET,0,TAMIL NADU,33,44,101.7,623.5,788.2,1557.4
SALEM,608,TAMIL NADU,33,62.4,120,503.8,481.4,1167.6
SIVAGANGA,622,TAMIL NADU,33,181.1,105.7,322.9,661.1,1270.8
TENKASI,0,TAMIL NADU,33,148.1,262.9,156.9,717.9,1285.7
THANJAVUR,620,TAMIL NADU,33,278.6,63.7,370.9,867.3,1580.6
THENI,624,TAMIL NADU,33,112.6,228.5,327.1,596.1,1264.3
TIRUNELVELI,628,TAMIL NADU,33,419.8,185.7,122.6,841.2,1569.2
TIRUPPUR,633,TAMIL NADU,33,118.4,92,153.8,480.9,845.1
THIRUVALLUR,602,TAMIL NADU,33,139,59.2,553.2,1058.2,1809.6
TIRUVANNAMALAI,606,TAMIL NADU,33,74.2,77.9,602.8,837.6,1592.5
THIRUVARUR,619,TAMIL NADU,33,377.4,71,317.8,1030,1796.1
THOOTHUKKUDI,627,TAMIL NADU,33,162.2,85.2,90.9,592.4,930.7
TIRUCHIRAPPALLI,614,TAMIL NADU,33,139.2,62.4,353.1,668,1222.7
VELLORE,605,TAMIL NADU,33,49.8,128,629.6,626.2,1433.6
VILUPPURAM,607,TAMIL NADU,33,144.1,62.2,517.5,1211.4,1935.1
VIRUDHUNAGAR,625,TAMIL NADU,33,120.5,150.4,172.3,525.2,968.5
ADILABAD,532,TELANGANA,36,1.7,57.9,1600.4,117,1777
BHADRADRI KOTHAGUDEM,753,TELANGANA,36,0,151.8,1223.3,144.6,1519.7
HYDERABAD,536,TELANGANA,36,7.6,126.8,806.4,166,1106.8
JAYASHANKAR,750,TELANGANA,36,3.1,96.2,1073.7,66.6,1239.6
JAGITIAL,737,TELANGANA,36,1.7,11.6,1247.7,66.8,1327.8
JANGOAN,752,TELANGANA,36,0.1,40.4,1066.2,103.2,1209.9
JOGULAMBA GADWAL,744,TELANGANA,36,7.5,89.9,421.5,126.9,645.7
KAMAREDDY,736,TELANGANA,36,7.1,54.7,1340.9,89.1,1491.7
KARIMNAGAR,534,TELANGANA,36,2.8,27.2,1268.3,92,1390.3
KHAMMAM,541,TELANGANA,36,0,76,1009.8,89.9,1175.8
KUMURAM BHEEM ASIFABAD,733,TELANGANA,36,2.5,70.8,1486.4,76.6,1636.2
MEDCHAL MALKAJGIRI,742,TELANGANA,36,2.6,53.5,887.2,94.4,1037.6
MAHABUBABAD,751,TELANGANA,36,3.7,50.1,1418.7,109.2,1581.7
MAHABUBNAGAR,538,TELANGANA,36,1.2,85.2,746.6,80.9,913.8
MANCHERIAL,735,TELANGANA,36,0.9,25.5,1020.4,47.3,1094.2
MEDAK,535,TELANGANA,36,0.3,37.4,960.1,61.2,1059
MULUGU,780,TELANGANA,36,7.1,116.2,1280,82.1,1485.3
NAGARKURNOOL,746,TELANGANA,36,1,83.4,512.3,108,704.7
NALGONDA,539,TELANGANA,36,0.6,59.9,690.9,134.4,885.8
NARAYANPET,781,TELANGANA,36,11.9,113.8,715.4,116.5,957.6
NIRMAL,734,TELANGANA,36,10.3,49.3,1564,84,1707.6
NIZAMABAD,533,TELANGANA,36,2.6,31.3,1382.3,63,1479.3
PEDDAPALLI,738,TELANGANA,36,2.2,22.6,1039.9,36.5,1101.1
RAJANNA SIRCILLA,739,TELANGANA,36,8.9,32.4,1386.2,107,1534.5
RANGA REDDY,537,TELANGANA,36,5.7,81.1,668.7,141.3,896.8
SANGAREDDY,740,TELANGANA,36,7.3,68.1,853.8,47.2,976.4
SIDDIPET,741,TELANGANA,36,1.4,13,1126.9,80.1,1221.4
SURYAPET,748,TELANGANA,36,0,44.1,765.9,100.1,910.1
VIKARABAD,743,TELANGANA,36,2.6,84.1,905.7,81,1073.3
WANAPARTHY,745,TELANGANA,36,0.6,63.1,580.2,109.8,753.8
WARANGAL RURAL,749,TELANGANA,36,9.6,56.4,1352.4,58.2,1476.5
WARANGAL URBAN,540,TELANGANA,36,6.9,44.3,1152.4,79.6,1283.2
YADADRI BHUVANAGIRI,747,TELANGANA,36,10,76,1051.3,90.1,1227.3
DHALAI,291,TRIPURA,16,21,287,1029.4,183.2,1520.6
NORTH TRIPURA,292,TRIPURA,16,5,363.4,1204.9,187.5,1760.8
SOUTH TRIPURA,290,TRIPURA,16,1.1,174.1,1548.2,257.5,1980.9
WEST TRIPURA,289,TRIPURA,16,3.2,250.9,1250.6,301.4,1806
AGRA,146,UTTAR PRADESH,09,4.3,66.1,406.8,63.6,540.8
ALIGARH,143,UTTAR PRADESH,09,43.9,65.9,485.7,83.3,678.8
AMBEDKAR NAGAR,178,UTTAR PRADESH,09,0,185.6,1143.4,52.1,1381.1
AMETHI,706,UTTAR PRADESH,09,0.9,91.3,680.6,56.5,829.3
AURAIYA,162,UTTAR PRADESH,09,6,18.5,472.7,24.5,521.7
AZAMGARH,191,UTTAR PRADESH,09,0,45.9,819.3,188.9,1054.1
BANDA,170,UTTAR PRADESH,09,16.3,90.3,467.9,73.6,647.9
BAGHPAT,139,UTTAR PRADESH,09,16.9,80.3,688.3,43.3,828.9
BAHRAICH,180,UTTAR PRADESH,09,1.8,166.2,1101.3,96.4,1365.7
BALLIA,193,UTTAR PRADESH,09,1.3,145.1,790.7,198,1135.1
BALRAMPUR,716,UTTAR PRADESH,09,4.6,258.2,1128,95.7,1486.4
BANDA,170,UTTAR PRADESH,09,3.9,31.6,761.3,31,827.8
BARA BANKI,176,UTTAR PRADESH,09,1.6,118.1,1103.7,110.7,1334.1
BAREILLY,150,UTTAR PRADESH,09,17.4,117.2,783.6,293.9,1212.1
BASTI,185,UTTAR PRADESH,09,1.2,170.7,1002.2,65.2,1239.3
BIJNOR,134,UTTAR PRADESH,09,29.1,102.3,902.6,153.6,1187.6
BULANDSHAHR,142,UTTAR PRADESH,09,27.1,45.6,381.5,110.5,564.7
CHANDAULI,196,UTTAR PRADESH,09,0,88.1,347.2,101.5,536.8
CHITRAKOOT,171,UTTAR PRADESH,09,0,102,1461.6,0,1563.6
DEORIA,190,UTTAR PRADESH,09,3,208.3,1047.3,168,1426.6
ETAH,201,UTTAR PRADESH,09,2.7,74.1,684.6,57.7,819
ETAWAH,161,UTTAR PRADESH,09,1.7,39.5,492.2,31.5,564.8
FARRUKHABAD,159,UTTAR PRADESH,09,0.3,33.8,391.4,150.5,576
FATEHPUR,172,UTTAR PRADESH,09,1,39.6,719.7,85.3,845.6
FIROZABAD,147,UTTAR PRADESH,09,2.3,66.1,545.9,67.4,681.7
GAUTAM BUDDHA NAGAR,141,UTTAR PRADESH,09,6,39,236,38,319
GHAZIABAD,140,UTTAR PRADESH,09,15.2,44.2,322.2,32,413.5
GHAZIPUR,195,UTTAR PRADESH,09,0,81.6,713.4,222.1,1017.1
GONDA,183,UTTAR PRADESH,09,2.2,162.1,1061.1,85.9,1311.2
GORAKHPUR,188,UTTAR PRADESH,09,1.3,306.8,1236.8,152.4,1697.3
HAMIRPUR,168,UTTAR PRADESH,09,2.7,26.5,855.1,122.7,1006.9
HAPUR,705,UTTAR PRADESH,09,21.6,69,415.3,64.5,570.4
HARDOI,155,UTTAR PRADESH,09,1.7,35.1,353.8,61.6,452.1
JALAUN,165,UTTAR PRADESH,09,0.5,48.3,624.2,106.6,779.5
JAUNPUR,194,UTTAR PRADESH,09,0,45.8,341.6,27.8,415.2
JHANSI,166,UTTAR PRADESH,09,2.2,40.9,602.9,53.9,699.9
KANNAUJ,160,UTTAR PRADESH,09,3.4,31.6,724.8,184.3,944.2
KANPUR NAGAR,164,UTTAR PRADESH,09,3.7,21.8,531.4,67,623.9
KANPUR DEHAT,163,UTTAR PRADESH,09,1.4,15.5,335.9,38.6,391.4
KAUSHAMBI,174,UTTAR PRADESH,09,0,59.1,531.7,15.1,605.9
KHERI,153,UTTAR PRADESH,09,3.2,140.8,1336.6,212.4,1692.9
KUSHINAGAR,189,UTTAR PRADESH,09,0,137.8,936.8,157,1231.5
LALITPUR,167,UTTAR PRADESH,09,0.7,26,689.8,44.3,760.8
LUCKNOW,157,UTTAR PRADESH,09,12.1,92.6,720.4,95,920
MAHRAJGANJ,187,UTTAR PRADESH,09,0,423.3,1329.9,116,1869.1
MAHOBA,169,UTTAR PRADESH,09,3,19.5,445.5,42.4,510.5
MAINPURI,148,UTTAR PRADESH,09,3.1,75.8,531.7,38.3,648.9
MATHURA,145,UTTAR PRADESH,09,24.5,59.2,412.4,34.8,530.8
MAU,192,UTTAR PRADESH,09,0,88.5,645,61.5,795
MEERUT,138,UTTAR PRADESH,09,32.5,83.3,606.8,96.9,819.5
MIRZAPUR,199,UTTAR PRADESH,09,0.2,95.6,751.3,29.8,876.9
MORADABAD,135,UTTAR PRADESH,09,43.5,112.1,762.2,157.4,1075.2
MUZAFFARNAGAR,133,UTTAR PRADESH,09,35.7,90.4,785.4,96.5,1008
PILIBHIT,151,UTTAR PRADESH,09,7.5,44.1,393.9,122.2,567.6
PRATAPGARH,131,UTTAR PRADESH,09,0,90,1284,102.2,1476.2
PRAYAGRAJ,175,UTTAR PRADESH,09,0.5,108.5,1085.3,17.1,1211.5
RAE BARELI,158,UTTAR PRADESH,09,1.1,34.4,422.4,26.9,484.8
RAMPUR,136,UTTAR PRADESH,09,26.9,78.9,425.5,165,696.3
SAHARANPUR,132,UTTAR PRADESH,09,23.6,48,694.4,41.2,807.2
SAMBHAL,754,UTTAR PRADESH,09,31.5,101.5,693.8,172.2,998.9
SANT KABIR NAGAR,186,UTTAR PRADESH,09,1.5,207.2,1185.2,99,1492.9
SHAHJAHANPUR,152,UTTAR PRADESH,09,1.8,102.4,565.5,145.8,815.5
SHAMLI,704,UTTAR PRADESH,09,15,30.8,304,35.5,385.3
SHRAWASTI,181,UTTAR PRADESH,09,1.3,269.8,1124.6,100.9,1496.7
SIDDHARTHNAGAR,184,UTTAR PRADESH,09,0.4,367.4,1070.3,75.5,1513.6
SITAPUR,154,UTTAR PRADESH,09,1.5,42.2,853.2,150.6,1047.5
SONBHADRA,200,UTTAR PRADESH,09,4,102.8,936,41,1083.7
SULTANPUR,179,UTTAR PRADESH,09,2.3,144.9,915.2,95,1157.3
UNNAO,156,UTTAR PRADESH,09,3.3,47.5,506.1,63,619.8
VARANASI,197,UTTAR PRADESH,09,0.6,147.2,915.6,89.3,1152.6
ALMORA,064,UTTARAKHAND,05,44.1,215.8,815.2,269,1344
BAGESHWAR,063,UTTARAKHAND,05,39.6,311.9,2234.2,309.6,2895.3
CHAMOLI,057,UTTARAKHAND,05,49.9,269.3,1293.1,213.2,1825.5
CHAMPAWAT,065,UTTARAKHAND,05,21.1,239.4,908.4,418.8,1587.7
DEHRADUN,060,UTTARAKHAND,05,58.1,201.3,1362.4,79.6,1701.4
PAURI GARHWAL,061,UTTARAKHAND,05,29.7,140.7,806.9,131,1108.3
TEHRI GARHWAL,059,UTTARAKHAND,05,39.7,197.3,948.4,102.4,1287.7
HARIDWAR,068,UTTARAKHAND,05,29.5,86.4,752.2,50.1,918.2
NAINITAL,066,UTTARAKHAND,05,47.3,267.7,1254,415.2,1984.2
PITHORAGARH,062,UTTARAKHAND,05,38.9,284,1447,339.9,2109.7
RUDRAPRAYAG,058,UTTARAKHAND,05,50.1,309.2,1243.6,147.4,1750.2
UDHAM SINGH NAGAR,067,UTTARAKHAND,05,20.8,199.8,937.9,357.1,1515.6
UTTARKASHI,056,UTTARAKHAND,05,68.3,317.6,1017.4,105.7,1509
BANKURA,339,WEST BENGAL,19,2,317.3,1538.9,287.9,2146
BANKURA,339,WEST BENGAL,19,0.4,218.7,1420.8,254.8,1894.6
BIRBHUM,334,WEST BENGAL,19,0,243.7,1071,207.5,1522.2
COOCH BEHAR,329,WEST BENGAL,19,0,379.8,2218.1,381.8,2979.7
DAKSHIN DINAJPUR,331,WEST BENGAL,19,0,244.8,909.2,248,1401.9
DARJEELING,327,WEST BENGAL,19,14.8,396.3,2539.9,422.9,3373.9
HOOGHLY,338,WEST BENGAL,19,1.1,295.9,1241.3,317,1855.2
HOWRAH,341,WEST BENGAL,19,0.6,258.2,1719.7,265,2243.5
JALPAIGURI,328,WEST BENGAL,19,13,376.1,2642.8,294.2,3326
KOLKATA,342,WEST BENGAL,19,1.5,436.1,1769.8,244.1,2451.5
MALDAH,332,WEST BENGAL,19,0,393.2,782.1,169.1,1344.4
MEDINIPUR EAST,345,WEST BENGAL,19,0,339.2,1944.8,375.6,2659.6
MEDINIPUR WEST,344,WEST BENGAL,19,1.7,306.7,1734,318.3,2360.7
MURSHIDABAD,333,WEST BENGAL,19,0,257.4,989.2,86.9,1333.4
NADIA,336,WEST BENGAL,19,0.2,297.5,945.6,246.1,1489.5
NORTH 24 PARGANAS,337,WEST BENGAL,19,1.2,355.2,1791.8,351.8,2500
PURULIA,340,WEST BENGAL,19,1.7,336.9,1344.9,256.9,1940.3
SOUTH 24 PARGANAS,343,WEST BENGAL,19,0.1,229.2,2111.9,360.3,2701.3
UTTAR DINAJPUR,330,WEST BENGAL,19,0,242.7,941.4,282.1,1466.2